,artists_id,artist_name,artist_followers,artists_popularity,artists_genre
0,06HL4z0CvFAxyc27GXpf02,Taylor Swift,81742713,100,pop
1,4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,6673266,88,contemporary country
2,12GqGscKJx3aE4t07u7eVZ,Peso Pluma,5975600,92,sad sierreno
3,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,69077985,94,"canadian contemporary r&b,canadian pop,pop"
4,1URnnhqYAYcrqrcwql10ft,21 Savage,14398762,89,"atl hip hop,hip hop,rap,trap"
5,4q3ewBCX7sLwd24euuV69X,Bad Bunny,72403408,95,"reggaeton,trap latino,urbano latino"
6,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,15627439,87,"hip hop,melodic rap,philly rap,rage rap,rap,trap"
7,246dkjvS1zLTtiykXe5h60,Post Malone,41534865,89,"dfw rap,melodic rap,pop,rap"
8,1RyvyyTE3xzB2ZywiAwp0i,Future,14480186,88,"atl hip hop,hip hop,rap,southern hip hop,trap"
9,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,20770003,88,"chicago rap,hip hop,rap"
10,0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,5240161,88,"hip hop,rap"
11,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,30128862,86,"chicago rap,melodic rap,rap"
12,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,24904867,87,"conscious hip hop,hip hop,rap,west coast rap"
13,7tYKF4w9nC0nq9CsPZTHyP,SZA,13941719,87,"pop,r&b,rap"
14,1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,5833842,83,"cloud rap,dark trap,new orleans rap,underground hip hop"
15,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,1740273,82,"classic oklahoma country,modern country pop"
16,718COspgdWOnwOFpJHRZHS,Luke Combs,8965584,83,"contemporary country,country"
17,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,20930199,84,"conscious hip hop,hip hop,north carolina hip hop,rap"
18,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,28984225,86,"hip pop,pop,queens hip hop,rap"
19,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,5640155,84,"atl hip hop,melodic rap,rap,trap"
20,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,26321543,89,"art pop,pop"
21,3hcs9uc56yIGFCSy9leWe7,Lil Durk,5973560,82,"chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap"
22,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",12241778,84,"hip hop,rap"
23,50co4Is1HCEo8bhOyUWKpn,Young Thug,8688562,84,"atl hip hop,atl trap,gangster rap,melodic rap,rap,trap"
24,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,56916691,87,"barbadian pop,pop,urban contemporary"
25,7Gi6gjaWy3DxyilpF1a8Is,Junior H,9154265,87,"corrido,corridos tumbados,musica mexicana,sad sierreno,sierreno"
26,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,83997187,87,"art pop,electropop,pop"
27,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,8533937,83,"atl hip hop,plugg,pluggnb,rage rap,rap"
28,2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,1122174,80,"pov: indie,singer-songwriter pop"
29,4LLpKhyESsyAXpc4laK94U,Mac Miller,9310360,81,"hip hop,pittsburgh rap,pop rap,rap"
30,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,42512695,84,"emo rap,miami hip hop"
31,0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,4202791,84,"corrido,corridos tumbados,sad sierreno,sierreno"
32,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,20175642,84,"pop rap,r&b,rap"
33,3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,4277467,80,"r&b,rap"
34,1U1el3k54VvEUzo3ybLPlM,Kali Uchis,4976849,83,colombian pop
35,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92559114,86,pop
36,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,49930235,86,"dance pop,pop"
37,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,73753434,87,"canadian pop,pop"
38,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,25935153,83,"dance pop,pop"
39,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,114018215,88,"pop,singer-songwriter pop,uk pop"
40,790FomKkXshlbRYZFtlgla,KAROL G,37777331,87,"reggaeton,reggaeton colombiano,trap latino,urbano latino"
41,6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,1445292,85,musica chihuahuense
42,13ZEDW6vyBF12HYcZRr4EV,Tyler Childers,1917305,76,"kentucky indie,kentucky roots,outlaw country"
43,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,17810051,88,"puerto rican pop,reggaeton,trap latino,urbano latino"
44,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,9561661,80,"florida drill,florida rap,melodic rap,miami hip hop,rap,trap,trap latino"
45,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,26770315,84,pop
46,6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,8893617,79,"melodic rap,rap,trap"
47,3qiHUAX7zY4Qnjx8TNUzVx,Yeat,2853149,80,"pluggnb,rage rap"
48,4Gso3d4CscCijv0lmajZWs,Don Toliver,3113256,81,"pop rap,rap,trap"
49,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,8527029,82,"east coast hip hop,gangster rap,hip hop,pop rap,rap"
50,4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,10188691,79,"emo,modern rock,pop,pop punk,rock"
51,4r63FhuTkUYltbVAg5TQnk,DaBaby,11039769,79,"hip hop,north carolina hip hop,pop rap,rap,trap"
52,2LRoIwlKmHjgvigdNGBHNo,Feid,6624641,89,"colombian pop,pop reggaeton,reggaeton colombiano,trap latino,urbano latino"
53,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,21677335,84,pop
54,19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,2373600,75,"country rap,nashville hip hop,tennessee hip hop"
55,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,40925922,86,"dance pop,pop,uk pop"
56,2R21vXR83lH98kGeO99Y66,Anuel AA,31156593,86,"reggaeton,reggaeton flow,trap boricua,trap latino,urbano latino"
57,6fOMl44jA4Sp5b9PpYCkzz,NF,8777643,79,"hip hop,pop rap"
58,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,49382142,85,"modern rock,pop,rock"
59,63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,17981754,79,"alt z,electropop,pop"
60,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,6601479,79,"hip hop,ohio hip hop,pop rap,rap"
61,3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,6245814,74,"contemporary country,country,country road,modern country rock"
62,1oSPZhvZMIrWW5I41kPkkY,Jimin,6247999,83,k-pop
63,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,24091950,83,"alternative metal,nu metal,post-grunge,rap metal,rock"
64,3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,3889532,75,"memphis hip hop,rap,southern hip hop,tennessee hip hop,trap"
65,0VRj0yCOv2FXJNP47XQnx5,Quavo,6796690,79,"atl hip hop,melodic rap"
66,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,10204351,79,"album rock,classic rock,rock,soft rock,yacht rock"
67,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,5807308,79,"canadian hip hop,canadian trap,melodic rap,pop rap,r&b,rap,trap"
68,3MdXrJWsbVzdn6fe5JYkSQ,Latto,1142161,84,trap queen
69,6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,1217511,77,"alternative pop rock,pov: indie"
70,5SXuuuRpukkTvsLuUknva1,Baby Keem,1618083,76,"hip hop,rap"
71,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,46181191,87,"permanent wave,pop"
72,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,27431309,83,"art pop,dance pop,pop"
73,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,33517007,86,"latin hip hop,reggaeton,trap latino,urbano latino"
74,6HaGTQPmzraVmaVxvz6EUc,Jung Kook,8935885,86,k-pop
75,7CajNmpbOovFoOoasH2HaY,Calvin Harris,23544278,84,"dance pop,edm,electro house,house,pop,progressive house,uk dance"
76,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,10016571,80,"g funk,gangster rap,hip hop,pop rap,rap,west coast rap"
77,0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,3217445,81,"corrido,corridos tumbados,norteno,sad sierreno,sierreno"
78,6QtgPSJPSzcnn7dPZ4VINp,King Von,3111606,75,chicago rap
79,5QNm7E7RU2m64l6Gliu8Oy,HARDY,445304,73,"contemporary country,modern country pop"
80,2FXC3k01G6Gw61bmprjgqS,Hozier,5806339,78,"irish singer-songwriter,modern rock,pop,pov: indie"
81,4kYSro6naA4h99UJvo89HB,Cardi B,21901802,78,"pop,rap"
82,26VFTg2z8YR0cCuwLzESi2,Halsey,20661295,80,"electropop,etherpop,indie poptimism,pop"
83,2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,7278367,77,"kentucky hip hop,r&b,rap"
84,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,13168867,81,"modern alternative rock,modern rock,pop"
85,0EmeFodog0BfCgMzAIvKQp,Shakira,30612994,86,"colombian pop,dance pop,latin pop,pop"
86,64KEffDW9EtZ1y2vBYgq8T,Marshmello,35243341,81,"brostep,edm,pop,progressive electro house"
87,3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,4357593,77,"edmonton indie,lo-fi indie,pov: indie"
88,4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,2860355,78,"atl hip hop,hip hop,pop rap,rap,trap"
89,04gDigrS5kc9YWfZHwBETP,Maroon 5,41136664,83,pop
90,360IAlyVv4PCEVjgyMZrxK,Miguel,4726804,77,r&b
91,0TnOYISbd1XYRBk9myaseg,Pitbull,10168582,81,"dance pop,miami hip hop,pop"
92,7iK8PXO48WeuP03g8YR51W,Myke Towers,11992294,87,"reggaeton,trap latino,urbano latino"
93,5INjqkS1o8h1imAzPqGZBb,Tame Impala,6754405,78,"australian psych,modern rock,neo-psychedelic,rock"
94,74XFHRwlV6OrjEM0A2NCMF,Paramore,7958996,77,"candy pop,pixie,pop,pop emo,pop punk,rock"
95,66ihevNkSYNzRAl44dx6jJ,Carin Leon,7227994,83,"banda,corrido,musica mexicana,sad sierreno,sierreno"
96,73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,11197594,76,"atl hip hop,hip hop,rap"
97,3win9vGIxFfBRag9S63wwf,Bailey Zimmerman,574224,73,modern country pop
98,6Ghvu1VvMGScGpOUJBAHNH,Deftones,4202789,76,"alternative metal,nu metal,rap metal,rock,sacramento indie"
99,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,12778926,79,"brooklyn drill,rap"
110,13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,4932532,75,"atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop,trap"
111,1r1uxoy19fzMxunt3ONAkG,Phoebe Bridgers,1870820,76,"indie pop,la indie,pov: indie"
112,77kULmXAQ6vWer7IIHdGzI,Jordan Davis,979355,73,"contemporary country,country road"
113,3q7HBObVc0L8jNeTe5Gofh,50 Cent,11977883,81,"east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap"
114,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,2964375,77,"deep underground hip hop,kentucky hip hop,pop rap,rap"
115,0RESbWvOMyua0yuyVrztJ5,Key Glock,1660474,73,"memphis hip hop,rap,southern hip hop,tennessee hip hop,trap"
116,0Y6dVaC9DZtPNH4591M42W,TV Girl,3003997,77,pov: indie
117,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,20002345,80,"alternative rock,funk metal,funk rock,permanent wave,rock"
118,2ye2Wgw4gimLv2eAKyk1NB,Metallica,25519424,80,"hard rock,metal,old school thrash,rock,thrash metal"
119,3PhoLpVuITZKcymswpck5b,Elton John,11989937,81,"glam rock,mellow gold,piano rock,rock"
120,1dfeR4HaWDbWqFHLkxsg1d,Queen,47733036,82,"classic rock,glam rock,rock"
121,3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,5357178,74,"contemporary country,country,country pop,country road,modern country rock"
122,6olE6TJLqED3rqDCT0FyPh,Nirvana,18004601,79,"grunge,permanent wave,rock"
123,5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,6664878,74,r&b
124,2dIgFjalVxs4ThymZ67YCE,Stray Kids,12153268,81,"k-pop,k-pop boy group,pop"
125,181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,7842449,75,"houston rap,pop,rap,trap queen"
126,2wY79sveU1sp5g7SokKOiI,Sam Smith,22941303,83,"pop,uk pop"
127,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,16009318,81,"piano rock,pop"
128,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,28139295,80,"r&b,soul"
129,78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,2271945,77,bedroom pop
130,23zg3TcAtWQy7J6upgbUnj,Usher,10658555,77,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary"
131,20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,4335983,78,canadian contemporary r&b
132,3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,5038047,73,"black americana,contemporary country,country,country road"
133,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,9635337,76,"melodic rap,rap,trap"
134,1ZwdS5xdxEREPySFridCfh,2Pac,15883707,78,"g funk,gangster rap,hip hop,rap,west coast rap"
135,0GM7qgcRCORpGnfcN2tCiB,Tainy,1596594,82,"pop reggaeton,reggaeton,trap latino,urbano latino"
136,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,32410276,83,"boy band,pop,post-teen pop,talent show"
137,3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,5970371,78,"classic rock,country rock,rock,southern rock,swamp rock"
138,0c173mlxpT3dSFRgMO8XPh,Big Sean,11002504,75,"detroit hip hop,hip hop,pop rap,r&b,rap,southern hip hop,trap"
139,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,6153415,75,"melodic rap,pluggnb,rap"
140,6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,5116308,76,"ohio hip hop,pop rap"
141,6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,4593015,72,"contemporary country,country,country road,modern country rock"
142,6yJCxee7QumYr820xdIsjo,Zac Brown Band,3646444,72,"contemporary country,country,country road,modern country rock"
143,6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,478176,79,"corrido,corridos tumbados,sierreno"
144,2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,4242065,78,"dance pop,pop"
145,2uYWxilOVlUdk4oV9DvwqK,Mitski,4831578,76,"brooklyn indie,pov: indie"
146,1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,5969336,71,"baton rouge rap,rap,southern hip hop,trap"
147,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,7776845,79,"ambient pop,dream pop,el paso indie,shoegaze"
148,7ITMCzIU9uII8gwRg8JAhc,Odetari,601139,76,sigilkore
149,3grHWM9bx2E9vwJCdlRv9O,Kenny Chesney,4352604,71,"contemporary country,country,country road"
150,6FBDaR13swtiWwGhX1WQsP,blink-182,7707455,76,"alternative metal,modern rock,pop punk,punk,rock,socal pop punk"
151,17lzZA2AlOHwCwFALHttmp,2 Chainz,7962619,74,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap"
152,711MCceyCBcFnzjGY4Q7Un,AC/DC,27021904,79,"australian rock,hard rock,rock"
153,164Uj4eKjl6zTBKfJLFKKK,JVKE,2845293,78,"modern indie pop,pov: indie,singer-songwriter pop"
154,1sBkRIssrMs1AbVkOJbc7a,Rick Ross,6961934,74,"dirty south rap,gangster rap,hip hop,rap,southern hip hop,trap"
